Date,Stock,Close_Price,Sector
2005-01-01,BP,3.0736389653253635,4
2005-01-01,BP,3.1588040382625846,4
2005-01-01,BP,3.127412218523392,4
2005-01-01,BP,3.1030799016539863,4
2005-01-01,BP,3.0915197834600336,4
2005-01-01,BP,3.135424305011636,4
2005-01-01,BP,3.1900148381787723,4
2005-01-01,BP,3.2272600732510694,4
2005-01-01,BP,3.27041148719062,4
2005-01-01,BP,3.205543554128139,4
2005-01-01,BP,3.1970743383904265,4
2005-01-01,BP,3.1802554258750777,4
2005-01-01,BP,3.2989025693734613,4
2005-01-01,BP,3.2139388840361542,4
2005-01-01,BP,3.2593462439211685,4
2005-01-01,BP,3.3263836077765156,4
2005-01-01,BP,3.2845552907211952,4
2005-01-01,BP,3.2764268804592307,4
2005-01-01,BP,3.3173808026490548,4
2005-01-01,BP,3.253761214011285,4
2005-01-01,BP,3.225236700826124,4
2005-01-01,BP,3.2481500768777645,4
2005-01-01,BP,3.262649416169083,4
2005-01-01,BP,3.256849455124335,4
2005-01-01,BP,3.2018623295322426,4
2005-01-01,BP,3.170352257238831,4
2005-01-01,BP,3.231208370477749,4
2005-01-01,BP,3.2701319634141144,4
2005-01-01,BP,3.265516842315158,4
2005-01-01,BP,3.348393129329323,4
2005-01-01,BP,3.309671365116899,4
2005-01-01,BP,3.2798357965836824,4
2005-01-01,BP,3.3185524013434886,4
2005-01-01,BP,3.435967040073485,4
2005-01-01,BP,3.366277510982773,4
2005-01-01,BP,3.380360493964504,4
2005-01-01,BP,3.245676764417786,4
2005-01-01,BP,3.25996077309435,4
2005-01-01,BP,3.2048903909642172,4
2005-01-01,BP,3.3873491254973165,4
2005-01-01,BP,3.383495089993248,4
2005-01-01,BP,3.3533770534462475,4
2005-01-01,BP,3.2291040989913116,4
2005-01-01,BP,3.1650865334844767,4
2005-01-01,BP,3.0403334035381873,4
2005-01-01,BP,3.030921336917104,4
2005-01-01,BP,3.0103898728697542,4
2005-01-01,BP,2.9875233950051108,4
2005-01-01,BP,2.8917208264705825,4
2005-01-01,BP,2.7899383400232125,4
2005-01-01,BP,2.854492150279334,4
2005-01-01,BP,2.9116785960035574,4
2005-01-01,BP,3.065088784868927,4
2005-01-01,BP,3.0453053248663773,4
2005-01-01,BP,3.0936162264568527,4
2005-01-01,BP,3.1214040162985075,4
2005-01-01,BP,3.1720792890133933,4
2005-01-01,BP,3.233819232201704,4
2005-01-01,BP,3.243661325674816,4
2005-01-01,BP,3.2714979669340063,4
2005-01-01,BP,3.239064783922268,4
2005-01-01,BP,3.185818779861795,4
2005-01-01,BP,3.270978411593912,4
2005-01-01,BP,3.1808239900779376,4
2005-01-01,BP,2.986736164867794,4
2005-01-01,BP,2.589848915645686,4
2005-01-01,BP,2.8765787036167647,4
2005-01-01,BP,2.7771789343990245,4
2005-01-01,BP,2.944409465020479,4
2005-01-01,BP,2.935382051752368,4
2005-01-01,BP,2.915579418378182,4
2005-01-01,BP,3.0147458261549485,4
2005-01-01,BP,3.086798017436252,4
2005-01-01,BP,3.1076451812723183,4
2005-01-01,BP,3.0230830782965032,4
2005-01-01,BP,3.067397035718378,4
2005-01-01,BP,3.069561972511506,4
2005-01-01,BP,3.0358567897853836,4
2005-01-01,BP,3.0614909319601833,4
2005-01-01,BP,2.9186101285905077,4
2005-01-01,BP,2.8402370584998264,4
2005-01-01,BP,3.043047787903605,4
2005-01-01,BP,3.0286853151826114,4
2005-01-01,BP,3.0197908872150334,4
2005-01-01,BP,3.091338482063906,4
2005-01-01,BP,3.1182017289837294,4
2005-01-01,BP,3.0817008045191323,4
2005-01-01,BP,3.045728607561973,4
2005-01-01,BP,2.8712547717049235,4
2005-01-01,BP,2.9892740671571034,4
2005-01-01,BP,2.973361715714163,4
2005-01-01,BP,3.026082515904217,4
2005-01-01,BP,3.0445475962436728,4
2005-01-01,BP,3.056982310109413,4
2005-01-01,BP,3.030282167587038,4
2005-01-01,BP,3.040012849372644,4
2005-01-01,BP,3.1068901703968734,4
2005-01-01,BP,3.009781262681011,4
2005-01-01,BP,3.0694578854556567,4
2005-01-01,BP,3.0985468646320156,4
2005-01-01,BP,3.0825943337349013,4
2005-01-01,BP,3.067277985250916,4
2005-01-01,BP,3.060064988478829,4
2005-01-01,BP,3.0566811369448144,4
2005-01-01,BP,3.0871926987323155,4
2005-01-01,BP,3.1882611072203693,4
2005-01-01,BP,3.19916898308454,4
2005-01-01,BP,3.2448424415719193,4
2005-01-01,BP,3.2088173201346644,4
2005-01-01,BP,3.2851622377186738,4
2005-01-01,BP,3.2460904723933126,4
2005-01-01,BP,3.297155246030367,4
2005-01-01,BP,3.2937910152968644,4
2005-01-01,BP,3.349881868089301,4
2005-01-01,BP,3.275526136080874,4
2005-01-01,BP,3.252180081092344,4
2005-01-01,BP,3.179488319241375,4
2005-01-01,BP,3.1682765644856667,4
2005-01-01,BP,3.068169143576921,4
2005-01-01,BP,3.051685157780158,4
2005-01-01,BP,3.070139436698275,4
2005-01-01,BP,3.1351928094267887,4
2005-01-01,BP,3.0919766177209658,4
2005-01-01,BP,3.1905127384427265,4
2005-01-01,BP,3.150327648191026,4
2005-01-01,BP,3.127496484924647,4
2005-01-01,BP,3.0497241215967494,4
2005-01-01,BP,2.952356279314535,4
2005-01-01,BP,2.8758659373981876,4
2005-01-01,BP,3.031324521788442,4
2005-01-01,BP,3.0000274451109674,4
2005-01-01,BP,2.9147606372453625,4
2005-01-01,BP,2.949653702593942,4
2005-01-01,BP,2.842815585971626,4
2005-01-01,BP,2.90054376565337,4
