Date,Stock,Close_Price,Sector
2005-01-01,BP,3.073639318204153,4
2005-01-01,COP,2.9098101274666646,4
2005-01-01,CVX,3.242583798182412,4
2005-01-01,ENB,1.6998529713693533,4
2005-01-01,EOG,2.5817363371524893,4
2005-01-01,EPD,1.3107434295141118,4
2005-01-01,PBR,0.9139932682169304,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.0484739128096376,4
2005-01-01,TTE,2.8667951954417417,4
2005-01-01,XOM,3.2707457695198627,4
2005-01-01,BP,3.1588040382625846,4
2005-01-01,COP,3.088010639679121,4
2005-01-01,CVX,3.3746432390680345,4
2005-01-01,ENB,1.6795089226133806,4
2005-01-01,EOG,2.7873726693724574,4
2005-01-01,EPD,1.3002235797631758,4
2005-01-01,PBR,1.0967241394378802,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.1245218832789905,4
2005-01-01,TTE,2.969641837692475,4
2005-01-01,XOM,3.4752673696088556,4
2005-01-01,BP,3.127412385725663,4
2005-01-01,COP,3.0651596082449775,4
2005-01-01,CVX,3.3188944460019476,4
2005-01-01,ENB,1.7238693395921372,4
2005-01-01,EOG,2.8548425716643564,4
2005-01-01,EPD,1.261302658216717,4
2005-01-01,PBR,0.9972661087714993,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.0975117561297876,4
2005-01-01,TTE,2.9529766640037924,4
2005-01-01,XOM,3.4197651548753436,4
2005-01-01,BP,3.103080158634861,4
2005-01-01,COP,3.037041423564661,4
2005-01-01,CVX,3.204363992275101,4
2005-01-01,ENB,1.7038567031646856,4
2005-01-01,EOG,2.830124507967672,4
2005-01-01,EPD,1.2663480730770984,4
2005-01-01,PBR,0.9449959740057448,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.067245135125172,4
2005-01-01,TTE,2.897557984045998,4
2005-01-01,XOM,3.3756870596554416,4
2005-01-01,BP,3.0915190902094607,4
2005-01-01,COP,3.0651596082449775,4
2005-01-01,CVX,3.23802255797103,4
2005-01-01,ENB,1.7638519624225844,4
2005-01-01,EOG,2.879007982897147,4
2005-01-01,EPD,1.276794928485668,4
2005-01-01,PBR,1.0633881523736122,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.0830763242233035,4
2005-01-01,TTE,2.9000796183483546,4
2005-01-01,XOM,3.361026494946876,4
2005-01-01,BP,3.1354246367475778,4
2005-01-01,COP,3.135136482617465,4
2005-01-01,CVX,3.2859918548092057,4
2005-01-01,ENB,1.8351867097241168,4
2005-01-01,EOG,3.0087234455871585,4
2005-01-01,EPD,1.318332718392278,4
2005-01-01,PBR,1.1627346977236845,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.1855301962669484,4
2005-01-01,TTE,2.967578377295521,4
2005-01-01,XOM,3.3884534432272697,4
2005-01-01,BP,3.1900145240669366,4
2005-01-01,COP,3.2201306067580386,4
2005-01-01,CVX,3.3226854788324673,4
2005-01-01,ENB,1.8470458971879353,4
2005-01-01,EOG,3.0816987917558505,4
2005-01-01,EPD,1.3160907017440726,4
2005-01-01,PBR,1.1711401200764422,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.1281360260078355,4
2005-01-01,TTE,3.035000265827822,4
2005-01-01,XOM,3.4104810891975554,4
2005-01-01,BP,3.227259921937154,4
2005-01-01,COP,3.2773050813716846,4
2005-01-01,CVX,3.3794793125269367,4
2005-01-01,ENB,1.872380743090824,4
2005-01-01,EOG,3.126062403496558,4
2005-01-01,EPD,1.2354326056293408,4
2005-01-01,PBR,1.3612875737631323,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.186454332233916,4
2005-01-01,TTE,3.08827566142715,4
2005-01-01,XOM,3.4298662351812763,4
2005-01-01,BP,3.2704109799587067,4
2005-01-01,COP,3.3357688432659356,4
2005-01-01,CVX,3.439706522934103,4
2005-01-01,ENB,1.9570460936841163,4
2005-01-01,EOG,3.2859932102959,4
2005-01-01,EPD,1.2718292137102982,4
2005-01-01,PBR,1.4947187803129847,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.2056247346569795,4
2005-01-01,TTE,3.118017353252639,4
2005-01-01,XOM,3.493748970640913,4
2005-01-01,BP,3.205543554128139,4
2005-01-01,COP,3.2687763575158755,4
2005-01-01,CVX,3.3137600550377506,4
2005-01-01,ENB,1.9177503813595578,4
2005-01-01,EOG,3.1861064130104073,4
2005-01-01,EPD,1.29847704306821,4
2005-01-01,PBR,1.3824804467472436,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.1492190847363477,4
2005-01-01,TTE,3.04312737487727,4
2005-01-01,XOM,3.3699273993899252,4
2005-01-01,BP,3.197073792561563,4
2005-01-01,COP,3.196317377418272,4
2005-01-01,CVX,3.317956132674467,4
2005-01-01,ENB,1.9306998223911132,4
2005-01-01,EOG,3.243612947472179,4
2005-01-01,EPD,1.282518443747168,4
2005-01-01,PBR,1.43876931057457,4
2005-01-01,PBR.A,3.394635620841678,4
2005-01-01,SHEL,3.142425822563076,4
2005-01-01,TTE,3.0325174751725914,4
2005-01-01,XOM,3.403039200503921,4
2005-01-01,BP,3.1802548707883282,4
2005-01-01,COP,3.1570500921447135,4
2005-01-01,CVX,3.3164587136355115,4
2005-01-01,ENB,1.9444722692045175,4
2005-01-01,EOG,3.2659402576553798,4
2005-01-01,EPD,1.2409138723270343,4
2005-01-01,PBR,1.4916361488229615,4
